,name,gender,frequency,year
981867,Emma,F,1258,1986.0
1002495,Emma,F,1587,1987.0
1023893,Emma,F,1793,1988.0
1046255,Emma,F,1938,1989.0
1070013,Emma,F,2420,1990.0
1094725,Emma,F,2595,1991.0
1119819,Emma,F,3212,1992.0
1145227,Emma,F,4108,1993.0
1171189,Emma,F,4765,1994.0
1197179,Emma,F,5050,1995.0
1223247,Emma,F,6146,1996.0
1249656,Emma,F,7749,1997.0
1276615,Emma,F,10448,1998.0
1304519,Emma,F,11746,1999.0
1333076,Emma,F,12559,2000.0
1362848,Emma,F,13325,2001.0
1393120,Emma,F,16554,2002.0
1423690,Emma,F,22714,2003.0
1454884,Emma,F,21617,2004.0
1486942,Emma,F,20353,2005.0
1519501,Emma,F,19126,2006.0
1553604,Emma,F,18381,2007.0
1588568,Emma,F,18823,2008.0
1623663,Emma,F,17908,2009.0
1658388,Emma,F,17357,2010.0
1692486,Emma,F,18814,2011.0
1726419,Emma,F,20964,2012.0
1760190,Emma,F,20958,2013.0
1793518,Emma,F,20958,2014.0
1826812,Emma,F,20478,2015.0
1859982,Emma,F,19536,2016.0
1893041,Emma,F,19857,2017.0
1925711,Emma,F,18801,2018.0
1957933,Emma,F,17194,2019.0
1990042,Emma,F,15680,2020.0
