,country,year,life expectancy,continent,fertility,total_population
0,Afghanistan,1950,26.85,Asia,7.67,7752118.0
1,Afghanistan,1951,27.13,Asia,7.67,7839426.0
2,Afghanistan,1952,27.67,Asia,7.67,7934798.0
3,Afghanistan,1953,28.19,Asia,7.67,8038312.0
4,Afghanistan,1954,28.73,Asia,7.67,8150037.0
5,Afghanistan,1955,29.27,Asia,7.67,8270024.0
6,Afghanistan,1956,29.8,Asia,7.67,8398309.0
7,Afghanistan,1957,30.34,Asia,7.67,8534913.0
8,Afghanistan,1958,30.86,Asia,7.67,8679848.0
9,Afghanistan,1959,31.4,Asia,7.67,8833127.0
10,Afghanistan,1960,31.94,Asia,7.67,8994793.0
11,Afghanistan,1961,32.47,Asia,7.67,9164945.0
12,Afghanistan,1962,33.01,Asia,7.67,9343772.0
13,Afghanistan,1963,33.53,Asia,7.67,9531555.0
14,Afghanistan,1964,34.07,Asia,7.67,9728645.0
15,Afghanistan,1965,34.6,Asia,7.67,9935358.0
16,Afghanistan,1966,35.13,Asia,7.67,10148841.0
17,Afghanistan,1967,35.66,Asia,7.67,10368600.0
18,Afghanistan,1968,36.17,Asia,7.67,10599790.0
19,Afghanistan,1969,36.69,Asia,7.67,10849510.0
20,Afghanistan,1970,37.2,Asia,7.67,11121097.0
21,Afghanistan,1971,37.7,Asia,7.67,11412821.0
22,Afghanistan,1972,38.19,Asia,7.67,11716896.0
23,Afghanistan,1973,38.67,Asia,7.67,12022514.0
24,Afghanistan,1974,39.14,Asia,7.67,12315553.0
25,Afghanistan,1975,39.61,Asia,7.67,12582954.0
26,Afghanistan,1976,40.07,Asia,7.67,12831361.0
27,Afghanistan,1977,40.53,Asia,7.67,13056499.0
28,Afghanistan,1978,40.98,Asia,7.67,13222547.0
29,Afghanistan,1979,41.46,Asia,7.67,13283279.0
30,Afghanistan,1980,41.96,Asia,7.67,13211412.0
31,Afghanistan,1981,42.51,Asia,7.67,12996923.0
32,Afghanistan,1982,43.11,Asia,7.67,12667001.0
33,Afghanistan,1983,43.75,Asia,7.67,12279095.0
34,Afghanistan,1984,44.45,Asia,7.68,11912510.0
35,Afghanistan,1985,45.21,Asia,7.68,11630498.0
36,Afghanistan,1986,46.02,Asia,7.68,11438949.0
37,Afghanistan,1987,46.87,Asia,7.68,11337932.0
38,Afghanistan,1988,47.74,Asia,7.68,11375768.0
39,Afghanistan,1989,48.62,Asia,7.68,11608351.0
40,Afghanistan,1990,49.5,Asia,7.69,12067570.0
41,Afghanistan,1991,49.3,Asia,7.7,12789374.0
42,Afghanistan,1992,49.4,Asia,7.73,13745630.0
43,Afghanistan,1993,49.5,Asia,7.76,14824371.0
44,Afghanistan,1994,48.9,Asia,7.8,15869967.0
45,Afghanistan,1995,49.4,Asia,7.83,16772522.0
46,Afghanistan,1996,49.7,Asia,7.86,17481800.0
47,Afghanistan,1997,49.5,Asia,7.87,18034130.0
48,Afghanistan,1998,48.6,Asia,7.85,18511480.0
49,Afghanistan,1999,50.0,Asia,7.81,19038420.0
50,Afghanistan,2000,50.1,Asia,7.73,19701940.0
51,Afghanistan,2001,50.4,Asia,7.62,20531160.0
52,Afghanistan,2002,51.0,Asia,7.48,21487079.0
53,Afghanistan,2003,51.4,Asia,7.32,22507368.0
54,Afghanistan,2004,51.8,Asia,7.14,23499850.0
55,Afghanistan,2005,52.0,Asia,6.93,24399948.0
56,Afghanistan,2006,52.1,Asia,6.7,25183615.0
57,Afghanistan,2007,52.4,Asia,6.46,25877544.0
58,Afghanistan,2008,52.8,Asia,6.2,26528741.0
59,Afghanistan,2009,53.3,Asia,5.93,27207291.0
60,Afghanistan,2010,53.6,Asia,5.66,27962207.0
61,Afghanistan,2011,54.0,Asia,5.4,28809167.0
